#Summary: Table of analog control registers
----
==Table of analog control registers==
|| *PIC* || *ANSEL*  || *ANSELH* || *ANSEL0* || *ANSEL1* || *ANSELA* || *ANSELB* || *ANSELC* || *ANSELD* || *ANSELE* || *ADCON*  || *ADCON0* || *ADCON1* || *ADCON2* || *ADCON3* || *CMCON*  || *CMCON1* || *CMCON2* ||
|| 10F200     ||- || - || - || - || - || - || - || - || - || - || - || - || - || - || - || - || - ||
|| 10F202     ||- || - || - || - || - || - || - || - || - || - || - || - || - || - || - || - || - ||
|| 10F204     ||- || - || - || - || - || - || - || - || - || - || - || - || - || - || - || - || - ||
|| 10F206     ||- || - || - || - || - || - || - || - || - || - || - || - || - || - || - || - || - ||
|| 10F220     ||- || - || - || - || - || - || - || - || - || - || ADCON0 || - || - || - || - || - || - ||
|| 10F222     ||- || - || - || - || - || - || - || - || - || - || ADCON0 || - || - || - || - || - || - ||
|| 12F508     ||- || - || - || - || - || - || - || - || - || - || - || - || - || - || - || - || - ||
|| 12F509     ||- || - || - || - || - || - || - || - || - || - || - || - || - || - || - || - || - ||
|| 12F510     ||- || - || - || - || - || - || - || - || - || - || ADCON0 || - || - || - || - || - || - ||
|| 12F519     ||- || - || - || - || - || - || - || - || - || - || - || - || - || - || - || - || - ||
|| 12F609     ||ANSEL || - || - || - || - || - || - || - || - || - || - || - || - || - || - || - || - ||
|| 12F615     ||ANSEL || - || - || - || - || - || - || - || - || - || ADCON0 || - || - || - || - || CMCON1 || - ||
|| 12F629     ||- || - || - || - || - || - || - || - || - || - || - || - || - || - || CMCON || - || - ||
|| 12F635     ||- || - || - || - || - || - || - || - || - || - || - || - || - || - || - || CMCON1 || - ||
|| 12F675     ||ANSEL || - || - || - || - || - || - || - || - || - || ADCON0 || - || - || - || CMCON || - || - ||
|| 12F683     ||ANSEL || - || - || - || - || - || - || - || - || - || ADCON0 || - || - || - || - || CMCON1 || - ||
|| 12HV609    ||ANSEL || - || - || - || - || - || - || - || - || - || - || - || - || - || - || - || - ||
|| 12HV615    ||ANSEL || - || - || - || - || - || - || - || - || - || ADCON0 || - || - || - || - || CMCON1 || - ||
|| 16F505     ||- || - || - || - || - || - || - || - || - || - || - || - || - || - || - || - || - ||
|| 16F506     ||- || - || - || - || - || - || - || - || - || - || ADCON0 || - || - || - || - || - || - ||
|| 16F526     ||- || - || - || - || - || - || - || - || - || - || ADCON0 || - || - || - || - || - || - ||
|| 16F54      ||- || - || - || - || - || - || - || - || - || - || - || - || - || - || - || - || - ||
|| 16F57      ||- || - || - || - || - || - || - || - || - || - || - || - || - || - || - || - || - ||
|| 16F59      ||- || - || - || - || - || - || - || - || - || - || - || - || - || - || - || - || - ||
|| 16F610     ||ANSEL || - || - || - || - || - || - || - || - || - || - || - || - || - || - || - || - ||
|| 16F616     ||ANSEL || - || - || - || - || - || - || - || - || - || ADCON0 || ADCON1 || - || - || - || - || - ||
|| 16F627     ||- || - || - || - || - || - || - || - || - || - || - || - || - || - || CMCON || - || - ||
|| 16F627A    ||- || - || - || - || - || - || - || - || - || - || - || - || - || - || CMCON || - || - ||
